timestamp_ms,raw_rms,db_rms,onset_rate,db_spice
500,0.000005,-105.332995,0.000000,0.000000
1000,0.000005,-106.730016,0.000000,0.000000
1500,0.000005,-105.284282,0.000000,0.000000
2000,0.000006,-105.182588,0.000000,0.000000
2500,0.000004,-107.352291,0.000000,0.000000
3000,0.000005,-105.447919,0.000000,0.000000
3500,0.000006,-104.681115,0.000000,0.000000
4000,0.000005,-106.224822,0.000000,0.000000
4500,0.000004,-107.210352,0.000000,0.000000
5000,0.000004,-107.806628,0.000000,0.000000
5500,0.000004,-107.320135,0.000000,0.000000
6000,0.000011,-99.512985,2.000000,0.000000
6500,0.000021,-93.432246,0.000000,0.000000
7000,0.000007,-103.376307,0.000000,0.000000
7500,0.000062,-84.201971,0.000000,0.000000
8000,0.000021,-93.561636,0.000000,0.000000
8500,0.000006,-104.926406,0.000000,0.000000
9000,0.000006,-104.844083,0.000000,0.000000
9500,0.000005,-106.876465,0.000000,0.000000
10000,0.000005,-105.732825,0.000000,0.000000
10500,0.000006,-105.088521,0.000000,0.000000
11000,0.000005,-106.884378,0.000000,0.000000
11500,0.000004,-107.229916,0.000000,0.000000
12000,0.000004,-107.886300,0.000000,0.000000
12500,0.000005,-105.636521,0.000000,0.000000
13000,0.000004,-108.142627,0.000000,0.000000
13500,0.000004,-108.133360,0.000000,0.000000
14000,0.000004,-108.413949,0.000000,0.000000
14500,0.000007,-102.873118,0.000000,0.000000
15000,0.000007,-102.538636,0.000000,0.000000
15500,0.000006,-104.817065,0.000000,0.000000
16000,0.000005,-106.752357,0.000000,0.000000
16500,0.000004,-107.650691,0.000000,0.000000
17000,0.000004,-107.771682,0.000000,0.000000
17500,0.000004,-108.821080,0.000000,0.000000
18000,0.000004,-107.933277,0.000000,0.000000
18500,0.000004,-108.415617,0.000000,0.000000
19000,0.000005,-105.640383,0.000000,0.000000
19500,0.000008,-102.365485,0.000000,0.000000
20000,0.000008,-101.979413,0.000000,0.000000
20500,0.000012,-98.170235,0.000000,0.000000
21000,0.000029,-90.783108,0.000000,0.000000
21500,0.000013,-97.964781,0.000000,0.000000
22000,0.000005,-106.574386,0.000000,0.000000
22500,0.000005,-106.726717,0.000000,0.000000
23000,0.000004,-108.015997,0.000000,0.000000
23500,0.000004,-108.105365,0.000000,0.000000
24000,0.000005,-106.291578,0.000000,0.000000
24500,0.000004,-107.393977,0.000000,0.000000
25000,0.000004,-108.097364,0.000000,0.000000
25500,0.000006,-104.988011,0.000000,0.000000
26000,0.000005,-105.322267,0.000000,0.000000
26500,0.000005,-105.870688,0.000000,0.000000
27000,0.000027,-91.437651,0.000000,0.000000
27500,0.000030,-90.544027,0.000000,0.000000
28000,0.000020,-94.178133,0.000000,0.000000
28500,0.000025,-92.010629,0.000000,0.000000
29000,0.000028,-91.004768,0.000000,0.000000
29500,0.000045,-86.971828,0.000000,0.000000
30000,0.000024,-92.270981,0.000000,0.000000
30500,0.000074,-82.610633,0.000000,0.000000
31000,0.000021,-93.461116,0.000000,0.000000
31500,0.000043,-87.243733,0.000000,0.000000
32000,0.000024,-92.440123,0.000000,0.000000
32500,0.000013,-97.964865,0.000000,0.000000
33000,0.000008,-101.917801,0.000000,0.000000
33500,0.000005,-106.703364,0.000000,0.000000
34000,0.000004,-108.393079,0.000000,0.000000
34500,0.000004,-108.970155,0.000000,0.000000
35000,0.000006,-105.136560,0.000000,0.000000
35500,0.000005,-105.846442,0.000000,0.000000
36000,0.000011,-98.957849,0.000000,0.000000
36500,0.000013,-97.470335,0.000000,0.000000
37000,0.000047,-86.646793,0.000000,0.000000
37500,0.000016,-95.818092,0.000000,0.000000
38000,0.000005,-106.527195,0.000000,0.000000
38500,0.000006,-104.620797,0.000000,0.000000
39000,0.000004,-107.513979,0.000000,0.000000
39500,0.000004,-107.849909,0.000000,0.000000
40000,0.000004,-107.535653,0.000000,0.000000
40500,0.000004,-108.336945,0.000000,0.000000
41000,0.000004,-108.380713,0.000000,0.000000
41500,0.000004,-107.270830,0.000000,0.000000
