# Track 1 MIDI Data
# Format: MIDI_NOTE,FREQUENCY,VELOCITY,START_TIME,DURATION
46,116.540940,41.000000,0.053682,0.286302
46,116.540940,34.000000,0.334019,0.053682
79,783.990872,34.000000,0.477170,0.101399
79,783.990872,33.000000,0.733649,0.125257
79,783.990872,33.000000,0.990128,0.059646
79,783.990872,33.000000,1.043810,0.095434
44,103.826174,35.000000,1.336076,0.053682
44,103.826174,36.000000,1.389758,0.053682
44,103.826174,37.000000,1.890786,0.155080
44,103.826174,36.000000,2.057796,0.077540
44,103.826174,35.000000,2.129371,0.196833
