# Track 0 Drum Data
# Format: MIDI_NOTE,TIMESTAMP,VELOCITY,DELTA_TIME
# MIDI_NOTE: GM MIDI note number (36=kick, 38=snare, 42=hat, etc.)
# DELTA_TIME: Duration until next hit (for last hit: time until loop end)
# Total loop duration: 4.481451 seconds
36,0.020045,0.769883,0.293810
38,0.313855,0.762964,0.293810
38,0.607664,0.736105,0.409909
36,1.017574,0.853099,0.404104
38,1.421678,0.730806,0.288005
38,1.709683,0.900000,0.537619
36,2.247302,0.894285,0.183515
42,2.430816,0.768398,0.160295
38,2.591111,0.803760,0.264785
36,2.855896,0.840644,0.285102
36,3.140998,0.828533,0.151587
42,3.292585,0.774501,0.244467
42,3.537052,0.736680,0.151587
38,3.688639,0.812753,0.267687
36,3.956327,0.747062,0.525125
