label,timestamp,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
kick,131.510839,-302.939624,4.999088,-6.576180,2.090830,6.355862,3.229101,2.985205,1.339124,-1.635280,-1.066652,-0.000000,1.066652,1.635280
kick,131.708209,-289.061637,26.582805,18.977190,13.061617,6.057645,6.482220,3.739835,2.718150,-0.139537,-0.023188,-0.000000,0.023188,0.139537
kick,131.911383,-281.813776,28.942284,4.220323,1.652523,6.479629,6.089910,1.999750,0.576250,-0.706755,-1.327649,-0.000000,1.327649,0.706755
kick,132.129070,-291.375744,21.190745,6.928540,7.300919,6.655317,5.401026,4.427716,2.892907,2.140174,1.078783,-0.000000,-1.078783,-2.140174
kick,132.340952,-293.387718,21.489935,6.282526,3.136799,5.842650,5.920543,2.763474,0.847266,1.218993,1.497544,-0.000000,-1.497544,-1.218993
kick,132.564444,-285.756111,27.407871,6.610447,2.867309,4.521076,3.405944,1.884190,2.330778,2.267284,1.107290,-0.000000,-1.107290,-2.267284
kick,132.895329,-272.994866,29.468454,6.087366,9.114226,7.741896,8.144026,3.025103,1.855409,-0.925544,-0.924021,-0.000000,0.924021,0.925544
kick,133.194286,-289.823393,23.657170,7.252768,6.111638,7.615892,5.467158,1.318793,-1.503479,-1.321500,0.437586,-0.000000,-0.437586,1.321500
kick,133.522268,-303.052275,14.832929,10.044649,7.127460,3.535942,1.931279,1.447123,0.996523,1.281417,0.957353,-0.000000,-0.957353,-1.281417
kick,133.818322,-285.892719,26.864266,10.254158,8.550257,6.632996,4.478259,2.675355,4.034151,3.454618,-0.113543,-0.000000,0.113543,-3.454618
kick,134.094059,-282.165855,30.005355,8.917339,4.222836,3.629653,4.688562,3.684091,2.732826,2.455233,1.942016,-0.000000,-1.942016,-2.455233
kick,134.427846,-272.822130,32.775419,6.495328,6.786025,3.714294,1.890604,1.276948,1.957266,1.294592,0.302337,-0.000000,-0.302337,-1.294592
kick,134.750023,-278.557998,29.252286,5.298307,4.647797,5.432096,4.840674,2.019277,0.931036,-1.301172,-2.040327,-0.000000,2.040327,1.301172
kick,135.121542,-299.508999,18.174335,10.278535,6.015981,2.311795,0.516045,0.701137,0.404150,-0.381652,-0.689228,-0.000000,0.689228,0.381652
snare,135.678821,-284.151148,21.474577,-4.227064,-3.610157,-0.180405,1.388048,0.412245,-1.596692,-1.571025,-0.151998,-0.000000,0.151998,1.571025
snare,135.951655,-288.624504,22.827649,2.193589,-1.971381,-0.933366,-0.348360,-0.649897,-0.921681,-1.251917,-0.394638,-0.000000,0.394638,1.251917
snare,136.209977,-285.497009,26.313227,2.271673,-2.835788,1.021390,1.654739,-1.905872,-3.503620,-1.356866,0.775662,-0.000000,-0.775662,1.356866
snare,136.436372,-288.010578,20.415791,-3.334078,-5.347371,1.150493,3.891596,-0.369927,-2.682464,-1.970096,-0.800287,-0.000000,0.800287,1.970096
snare,136.665669,-303.251855,10.747954,-1.045379,-4.731164,-2.078600,0.759938,0.553456,-1.098591,-1.521869,-0.583947,-0.000000,0.583947,1.521869
snare,136.897868,-297.427484,16.326789,4.623534,1.159113,2.146251,4.860271,2.276299,0.120573,0.081459,0.622673,-0.000000,-0.622673,-0.081459
snare,137.359365,-287.606501,23.799876,1.466902,-2.141995,2.164710,3.551989,0.705017,-2.195552,-2.736539,-1.220092,-0.000000,1.220092,2.736539
snare,137.623492,-299.173132,14.890197,0.515625,-5.498744,-3.825585,0.691720,2.700485,2.289393,0.919661,-0.127667,-0.000000,0.127667,-0.919661
snare,137.887619,-299.714501,13.882950,0.079500,-2.282136,3.021508,5.889189,2.123191,-2.488898,-2.538394,-0.381643,-0.000000,0.381643,2.538394
snare,138.145941,-286.158511,24.137357,1.283501,-3.594820,0.145993,3.740099,1.690644,-0.058119,-1.105643,-0.066150,-0.000000,0.066150,1.105643
snare,138.378141,-291.316149,23.465980,4.614981,-2.065567,1.021047,3.247449,0.865326,-1.428206,-1.125255,0.002693,-0.000000,-0.002693,1.125255
hat,139.495601,-304.327763,5.476323,0.147669,3.530978,0.793277,2.188367,1.749568,0.459090,0.345695,-0.215764,-0.000000,0.215764,-0.345695
hat,139.692971,-298.309103,0.127898,8.065386,14.037216,-0.927197,8.847741,2.503406,2.865921,1.738115,0.897677,-0.000000,-0.897677,-1.738115
hat,139.887438,-300.049122,6.483141,-2.128302,5.845716,2.298936,0.931375,1.580422,-0.763540,-1.245692,-0.838272,-0.000000,0.838272,1.245692
hat,140.090612,-302.566586,8.740762,-0.092058,1.110483,-0.025719,1.129984,1.247728,-0.734946,-0.299614,0.566455,-0.000000,-0.566455,0.299614
hat,140.322812,-288.739955,11.203926,12.003405,19.477924,-1.247375,2.908150,2.345868,-1.053085,-1.336261,0.959251,-0.000000,-0.959251,1.336261
hat,140.514376,-300.293957,4.198497,0.152846,6.634239,-0.879982,2.459935,2.605376,0.965899,0.354960,0.179064,-0.000000,-0.179064,-0.354960
hat,140.723356,-295.796184,4.862229,6.477965,11.320193,-2.525536,4.650598,1.274153,2.417654,1.487334,1.191268,-0.000000,-1.191268,-1.487334
hat,140.952653,-290.025048,5.469985,5.702705,15.350582,-3.208101,4.002678,1.969255,0.705513,0.965529,-0.218294,-0.000000,0.218294,-0.965529
hat,141.138413,-297.830922,-0.948267,5.785806,15.554226,-2.440486,6.633396,2.492823,0.733644,1.091639,0.417199,-0.000000,-0.417199,-1.091639
hat,141.347392,-294.560330,1.178639,7.317557,15.457707,-1.878839,5.171859,-0.272454,2.297560,-0.881055,-0.545822,-0.000000,0.545822,0.881055
hat,141.570884,-296.071547,2.477715,7.230745,16.111623,-0.001599,6.225046,3.245099,2.250435,-0.251876,0.861134,-0.000000,-0.861134,0.251876
