label,timestamp,flux,energy,band1,band2,band3,band4,band5,centroid,rolloff,flatness,low_ratio,high_ratio,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
kick,4.399002,0.025061,0.000586,0.024460,0.004088,0.003620,0.001355,0.000142,23.804665,95.000000,0.648289,35.644791,0.207342,-292.619871,24.419035,15.122002,10.336477,4.554407,2.763849,1.658131,0.427432,-1.024438,-1.315999,-0.000000,1.315999,1.024438
kick,4.976599,0.051184,0.000879,0.035904,0.006105,0.004329,0.005243,0.000301,31.488110,130.000000,0.590280,36.669993,0.306953,-286.719469,25.715020,15.307918,9.942073,4.392481,2.530746,1.126936,2.992435,-0.937064,-0.717420,-0.000000,0.717420,0.937064
kick,5.536780,0.033424,0.000563,0.024004,0.003110,0.004449,0.002448,0.000240,30.271537,117.000000,0.664536,36.209877,0.362716,-293.644070,22.814615,15.824782,10.738694,3.857434,2.240014,0.696799,0.400393,-0.969956,-0.329351,-0.000000,0.329351,0.969956
kick,6.134694,0.028172,0.000416,0.018208,0.006584,0.003175,0.001048,0.000119,28.427054,87.000000,0.711337,35.295493,0.231403,-292.839995,20.621315,9.963927,11.768804,6.312523,-0.446718,0.298209,1.180728,-0.241575,0.459596,-0.000000,-0.459596,0.241575
kick,6.718095,0.063573,0.001178,0.047812,0.010960,0.008937,0.003252,0.000143,27.234260,104.000000,0.524213,37.409902,0.111605,-278.222885,27.129261,10.693435,12.523408,5.801102,4.378389,0.993972,-0.001607,-1.494728,-0.150842,-0.000000,0.150842,1.494728
kick,7.243447,0.027437,0.000437,0.018854,0.004263,0.003930,0.001083,0.000095,27.528980,94.000000,0.711057,35.091148,0.176068,-294.589915,21.128952,12.384243,9.938306,4.568456,1.805643,0.783129,0.620907,0.764924,0.711225,-0.000000,-0.711225,-0.764924
kick,7.806531,0.046242,0.000859,0.037197,0.005836,0.007090,0.003069,0.000169,27.258114,112.000000,0.572319,38.793048,0.176611,-284.619171,26.982867,14.855819,9.385870,1.303588,2.721645,2.479830,1.183246,-2.365489,0.943315,-0.000000,-0.943315,2.365489
kick,8.372517,0.046577,0.000722,0.030431,0.007769,0.006621,0.002301,0.000170,29.939611,111.000000,0.612518,37.034845,0.207076,-285.078710,23.708760,11.008024,11.848368,3.759091,0.848063,1.961726,3.011270,-1.494933,0.483445,-0.000000,-0.483445,1.494933
kick,8.944308,0.023316,0.000311,0.013584,0.004626,0.004885,0.000684,0.000104,32.894652,104.000000,0.773184,33.047348,0.251958,-295.856295,18.296714,9.847207,9.325401,4.657029,2.453072,1.110976,0.023886,-0.017359,0.064783,-0.000000,-0.064783,0.017359
kick,9.510295,0.030477,0.000401,0.016350,0.005274,0.007609,0.001868,0.000090,41.363715,118.000000,0.741964,32.642702,0.180127,-293.486477,17.033571,11.028706,12.572211,4.023783,2.846965,1.814163,0.705643,-1.456194,-0.593113,-0.000000,0.593113,1.456194
kick,10.050159,0.013215,0.000162,0.007773,0.002800,0.002929,0.000567,0.000087,37.330411,110.000000,0.866770,29.672822,0.331721,-302.144807,14.699833,9.555406,7.032236,2.953660,1.199746,0.833407,0.931111,0.251849,-0.482231,-0.000000,0.482231,-0.251849
kick,10.610340,0.018281,0.000233,0.010002,0.002437,0.005904,0.000738,0.000091,41.659382,110.000000,0.815080,29.999983,0.271898,-299.534702,14.922767,10.655888,9.474759,3.778636,4.604455,1.186535,-2.124778,-0.504287,-0.041146,-0.000000,0.041146,0.504287
kick,11.156009,0.023925,0.000325,0.014625,0.004922,0.004241,0.000668,0.000099,31.359147,103.000000,0.764841,34.395661,0.231987,-295.629354,19.253313,10.672822,9.409765,4.527810,1.678550,0.634888,0.272464,0.302933,0.551571,-0.000000,-0.551571,-0.302933
kick,11.721995,0.058742,0.001179,0.049346,0.007135,0.009820,0.000986,0.000105,22.665264,91.000000,0.499160,38.591732,0.082122,-281.510373,27.324758,14.880097,15.271148,2.684019,1.103492,1.145313,1.273249,0.989784,-1.071511,-0.000000,1.071511,-0.989784
kick,12.343129,0.018405,0.000315,0.015393,0.002385,0.000964,0.000556,0.000108,17.695196,58.000000,0.737838,37.088328,0.260995,-297.873020,21.605493,13.989779,7.998468,3.014566,0.072083,-0.216226,0.012154,0.020466,0.296281,-0.000000,-0.296281,-0.020466
kick,12.970068,0.057418,0.001159,0.045993,0.007486,0.006655,0.001560,0.000121,20.891723,87.000000,0.504176,36.521425,0.095761,-284.929560,26.345453,13.521738,13.764648,8.306244,5.022847,-0.589695,-2.037864,-1.615188,-1.667896,-0.000000,1.667896,1.615188
kick,13.599909,0.075670,0.001545,0.061023,0.009951,0.007856,0.001789,0.000221,19.570985,80.000000,0.451557,37.100218,0.134225,-279.256080,29.641417,13.220531,14.043111,4.657181,3.211212,3.077296,-0.203199,-0.494974,-1.220568,-0.000000,1.220568,0.494974
snare,14.836372,0.011501,0.000131,0.001588,0.005073,0.012267,0.004121,0.000262,89.291578,142.000000,0.899156,6.869614,1.134366,-302.917544,-2.037987,-0.810810,5.069220,-1.330797,4.604533,0.074160,1.336300,0.953363,1.211315,-0.000000,-1.211315,-0.953363
