label timestamp flux energy band1 band2 band3 band4 band5 centroid rolloff flatness low_ratio high_ratio mfcc0 mfcc1 mfcc2 mfcc3 mfcc4 mfcc5 mfcc6 mfcc7 mfcc8 mfcc9 mfcc10 mfcc11 mfcc12
kick 9.243265 0.017625 0.000000 0.007148 0.013938 0.006325 0.002126 0.000300 52.711520 117.000000 0.809839 71.483081 3.002416 -291.304656 12.156667 -1.730170 11.406617 8.564292 0.011345 1.416226 1.605760 -0.909727 0.183803 -0.000000 -0.183803 0.909727
kick 10.491338 0.021607 0.000000 0.015892 0.003387 0.001814 0.002638 0.000219 34.254756 139.000000 0.747779 158.922769 2.194918 -295.944806 22.020094 13.577398 7.681843 4.633836 2.594840 0.567201 -0.947450 -1.255316 -0.144475 -0.000000 0.144475 1.255316
kick 10.999274 0.028251 0.000000 0.021613 0.004043 0.005921 0.003992 0.000611 44.681437 148.000000 0.700554 216.127890 6.106435 -289.302307 23.152485 16.496632 14.203409 4.089118 -0.818460 -2.165913 -3.134011 -2.777856 -2.075722 -0.000000 2.075722 2.777856
kick 11.452063 0.021361 0.000000 0.016329 0.002809 0.002157 0.002661 0.000299 36.099358 139.000000 0.760430 163.285530 2.989559 -294.482163 23.512333 13.954644 6.257798 0.764700 -1.877633 -1.699942 -0.462657 0.482955 1.024070 -0.000000 -1.024070 -0.482955
kick 11.916463 0.048734 0.000000 0.031814 0.007803 0.005992 0.006304 0.000499 40.657324 139.000000 0.640120 318.139559 4.987099 -279.040039 28.227806 13.798561 10.065854 1.208249 -2.386416 -2.610979 0.070620 -1.129404 0.500380 -0.000000 -0.500380 1.129404
kick 12.392472 0.040733 0.000000 0.018026 0.010783 0.007160 0.006665 0.000453 52.418643 152.000000 0.766827 180.255563 4.525056 -282.257989 21.689378 6.893886 5.854098 1.728208 0.840223 1.194350 0.353701 -0.754451 1.027627 -0.000000 -1.027627 0.754451
kick 12.851066 0.015774 0.000000 0.002262 0.007811 0.004935 0.007994 0.000746 95.777934 183.000000 0.904795 22.619325 7.462161 -300.886233 0.144357 -1.672084 7.507628 4.598839 -2.195935 1.679927 4.126096 -0.561978 1.858276 -0.000000 -1.858276 0.561978
kick 13.745034 0.021180 0.000000 0.002240 0.013875 0.007258 0.012022 0.000759 95.039420 174.000000 0.866396 22.403139 7.591302 -295.802968 -3.436559 -6.977494 3.135835 5.177092 -1.407911 -4.127822 3.669622 -0.153498 1.464460 -0.000000 -1.464460 0.153498
kick 14.334240 0.010736 0.000000 0.002510 0.003074 0.011440 0.017998 0.002335 124.062340 194.000000 0.870901 25.095572 23.351631 -300.259599 -6.108896 7.088511 4.818340 1.113329 3.550712 0.411646 2.025674 0.586240 1.109290 -0.000000 -1.109290 -0.586240
kick 14.694150 0.010229 0.000000 0.002567 0.004424 0.012547 0.011867 0.001053 109.391438 184.000000 0.895066 25.665993 10.527840 -297.652482 -2.520240 2.490120 4.833529 -1.799589 -0.455224 -1.246125 -2.494226 0.732579 1.265493 -0.000000 -1.265493 -0.732579
kick 15.048254 0.016205 0.000000 0.003007 0.009257 0.007154 0.011627 0.000411 98.123674 178.000000 0.910864 30.069408 4.114041 -297.164912 -0.050333 -2.850493 -0.076817 2.322770 -1.027643 -0.496008 2.969082 1.974340 1.840883 -0.000000 -1.840883 -1.974340
kick 15.466213 0.013462 0.000000 0.004000 0.006724 0.008348 0.011433 0.000684 100.350317 182.000000 0.903695 40.000947 6.838303 -296.738559 1.454334 2.460175 3.030287 2.411499 -0.028622 1.730660 1.034427 -0.218159 1.527685 -0.000000 -1.527685 0.218159
kick 15.814512 0.012106 0.000000 0.001510 0.000993 0.005805 0.023492 0.008376 162.185330 214.000000 0.810972 15.096810 83.760828 -304.952447 -7.608871 10.311769 -2.345342 3.232627 1.195804 0.410541 0.944568 0.620112 0.298800 -0.000000 -0.298800 -0.620112
